userId,wine,rate
976ec198-048f-405c-b6e6-b17ee1db1139,Nebbiolo d alba superiore,4
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Malvasia legno,3
13016d41-00bd-411c-83f5-2b95691696b7,Bianco,3
13016d41-00bd-411c-83f5-2b95691696b7,Cabernet Franc,3
0a23a07a-8556-4ef6-85ee-d996f8ed619e,Talò Primitivo - Merlot,4
71d38b96-326c-4d01-afc4-b12c947a5c6b,Rosso Carso Črnina,4
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Mendoza Malbec selected vines,3
99654a70-c3bb-46f4-8697-b9345482e48d,Red (Winemaker's Blend),4
09f6ca6e-905f-4afd-bab2-d928fe046f18,Refosco dal Peduncolo Rosso Riserva,4
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Big Easy Red,4
b61f83a4-48c5-49a5-aee5-72f7d5221b2a,Essensia Orange Muscat,5
23b6603a-928c-4e54-9c34-bdf3dcb45435,Gewurztraminer,5
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Falconero Zero,4
bc79b0e3-064d-4240-86de-e86499f577e8,Boscarelli Vino Nobile de Montepulciano DOCG,5
dcd16582-14d2-4e00-a024-9b5886d29b29,tonel 14,3
5ccd8030-047b-432c-a630-d784ab415756,Randersacker Sonnenstuhl Silvaner,4
406ed450-5225-41ac-a02f-3ac1d1a1179b,Pinot Nero,5
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Bollicina,3
99654a70-c3bb-46f4-8697-b9345482e48d,Dark (Red Blend),4
c60f0ff1-ed30-4df6-a612-b9ae7ca0814b,Amarone,3
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Mendoza Pinot Grigio,3
06ca7474-a4b1-4b25-8775-aed5b238c8dd,Colimoro,5
bc79b0e3-064d-4240-86de-e86499f577e8,Collezione Chianti,3
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 11,1
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Fleurie Grand Pre,2
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Spier Secret,3
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,le vigne di zamò ronco dei roseti,4
55851c14-2fd7-4f7e-b4de-b45e14825ac3,Riesling Goldmund Feinherb,2
defee34b-7775-4889-b703-92b730d85e70,Malvasia,4
7ab11062-c77b-4254-9f58-a3f852c73eb3,Kung Fu Girl Riesling,3
ec237d07-aabf-47af-a3fa-2b60019d49d7,Barbera,4
bc79b0e3-064d-4240-86de-e86499f577e8,5/20 Domaine de Thalabert Croze Hermitage,3
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Pinotage,3
5ccd8030-047b-432c-a630-d784ab415756,Aulerde Riesling,4
f7fb310d-87f1-441a-94ab-f526f66b9ec1,'Cuvée des Paladins' Erbaluce di Caluso,5
31434f5c-846c-4e06-93d6-193efdeb250c,Strada di Guia 109 Extra Dry,5
bc79b0e3-064d-4240-86de-e86499f577e8,3/11 Syrah and blend #7,4
b877db20-6422-46b2-9dca-38a361d3e260,Capolemole Bianco,3
47edd867-4e96-411a-b436-970e5f750b03,Pinot Grigio,2
dcd16582-14d2-4e00-a024-9b5886d29b29,Finca La sofia,3
df904a46-c461-4233-9d44-6ac11a8bbddc,Chianti,4
25a04c51-5638-42f0-b2e7-ce49b1c280fc,Johannisberger Erntebringer Riesling Feinherb,3
595d2e23-9c80-4c9b-aae0-2a6cb4eeae2b,nebbiolo,3
018ad2f2-d320-46c2-8eff-56af0c2ac2b8,Muller Thurgau Trentino,5
1818462e-a882-487f-9818-98faab99b3c4,Steak House Red,3
45749629-7f44-49a1-92ef-ae32c959b290,Traluna Toscana,4
185e3df6-c35d-429a-b120-1304eb5b7ff4,Educated Guess Cabernet Sauvignon,4
25a04c51-5638-42f0-b2e7-ce49b1c280fc,Primitivo Manduria,2
dcd16582-14d2-4e00-a024-9b5886d29b29,Las perdices,5
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Malvasia,4
457b85f5-7b46-4f52-85b9-59acb549b9a2,Elevation Sauvignon Blanc,4
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Ormeasco di Pornassio,5
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio,4
dcd16582-14d2-4e00-a024-9b5886d29b29,Novecento raices,4
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Terrano,2
13016d41-00bd-411c-83f5-2b95691696b7,Iridium,3
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Le Premier,4
bc79b0e3-064d-4240-86de-e86499f577e8,2／17 @home #4,4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bakàn,3
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Terrano,2
91cf68cc-9436-43e1-871d-33beef4d2337,Vistamar Cabernet Sauvignon Reserva,1
fb9faae5-b479-4a1a-af12-6ed14e5f9d3b,Shiraz,5
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Vitovska acciaio,3
87609866-dc17-4eb7-884f-b6bdfb80d20c,Rèmole Rosso,4
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Prosecco Millesimato,3
06614f69-5a3a-455d-924b-6102e0958c6b,Vigna Kastelaz Gewürztraminer,4
df904a46-c461-4233-9d44-6ac11a8bbddc,Il Bianco di Ciccio (Tralcetto),3
0cfb0f1f-1b20-48b4-bd0a-309609f865eb,Neuburger 2019,4
7c63488a-31b5-4389-9526-d4c6030652aa,Rubesco Rosso di Torgiano,5
3b1f7bc8-6a23-47e5-97df-043bd1b97f12,White cava,2
4a3e010a-0761-48d4-90c1-b2905e0b7b4a,Pinot Noir,3
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Tingleup Vineyard Riesling,5
dc90e649-113d-4cec-983e-d03a7d4acff3,Cabernet Sauvignon,5
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Verduzzo secco,3
