userId,wine,color,grapes,appellation,category,rate,aromaKeys,sweetness,body,intensity,acidity,depth,clarity,vintage,hue,tannins
826c6abe-7147-4b69-aaea-275fe65b033a,Cavalcaonte Barbera Forlí,Red,Barbera,Emilia-Romagna,MediumRed,5,,Medium Sweet,Full Bodied,Aromatic,Crisp,Dark,Clear,2020.0,Purplish,Not Present
d838a526-4b0a-4fad-b54f-90b6ca321fca,Shiraz,Red,Shiraz/Syrah,South Eastern Australia,BoldRed,2,"red-cherry, grape, tomato, tea, cream",Medium Sweet,Very Light,Low,Crisp,Pale,Clear,2021.0,Ruby,Soft
d838a526-4b0a-4fad-b54f-90b6ca321fca,Pinot Noir,Red,Pinot Noir,Sonoma Coast,LightRed,3,"red-cherry, lime, saffron, cinnamon, vinegar, cream",Dry,Light,Moderate,Crisp,Medium,Clear,2021.0,Ruby,Round
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Timorasso,White,Timorasso,Colli Tortonesi,,5,"eucalyptus, thyme, flint, pepper, honey, dried-apricot, peach",Medium Sweet,Medium Full,Aromatic,Fresh,,Clear,2019.0,Gold,Not Present
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Le Difese,Red,"Cabernet Sauvignon, Sangiovese",Toscana,,4,"cherry, strawberry, blackberry, olive",Dry,Medium Full,Aromatic,Fresh,Medium,Slight Haze,2011.0,Purplish,Round
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Ormeasco di Pornassio,Red,Dolcetto,,MediumRed,5,"plum, cherry, black-cherry, pepper",Dry,Medium Full,Aromatic,Fresh,Medium,Slight Haze,2019.0,Ruby,Soft
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Vermentino Riviera ligure di Ponente,White,Vermentino,,LightWhite,4,apple,Dry,Light,Aromatic,Crisp,Pale,Clear,2019.0,Straw Yellow,
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Aspromonte,Rose,Shiraz/Syrah,,Sparkling,5,"anise, fennel",Medium Sweet,Medium Full,Aromatic,Crisp,Medium,Cloudy,2020.0,Salmon,Soft
bec96c0b-5b0b-4992-8756-e0d3b704afb5,Rossese,Red,Rossese,,LightRed,3,raspberry,Medium Sweet,Light,Moderate,Crisp,Dark,Clear,2019.0,Tawny,Soft
e336887b-883b-4d9a-8cd3-060c25856bfb,Tenuta Sant'Helena Pinot Grigio,White,Pinot Grigio,Collio,LightWhite,3,"lime, melon, chamomile, green-tea",Bone Dry,Medium Full,Aromatic,Crisp,Pale,Clear,2020.0,Greenish,
