Model,Metric,Optimizer,User_based,k,RMSE,MAE,MSE,Precision,Recall,Accuracy,DataSet
KNNBasic,cosine,sgd,True,5,0.7546271457100764,0.4203716121081999,0.5694621290425369,0.15384615384615385,0.11805749805749807,66.28352490421456,upsampled_df_smote_auto
KNNBasic,cosine,sgd,True,10,0.693999472477645,0.3609473125804761,0.4816352677992496,0.16666666666666666,0.12008269508269508,71.26436781609196,upsampled_df_smote_auto
KNNBasic,cosine,als,True,5,0.8254720689219901,0.48758628056610964,0.6814041365703508,0.16169154228855723,0.11406255436106182,62.83524904214559,upsampled_df_smote_auto
KNNBasic,cosine,als,True,10,0.7654896202523692,0.4223144307706781,0.5859743587141165,0.12903225806451613,0.07990271377368152,66.66666666666666,upsampled_df_smote_auto
KNNBasic,cosine,sgd,False,5,0.8994989168178148,0.5133118903572734,0.809098301356422,0.12630208333333331,0.07912790334665334,64.36781609195403,upsampled_df_smote_auto
KNNBasic,cosine,sgd,False,10,0.757104103346276,0.42452428529137937,0.5732066233037685,0.14839901477832512,0.10559038662486939,65.90038314176245,upsampled_df_smote_auto
KNNBasic,cosine,als,False,5,0.8636083759033323,0.49941580453373036,0.7458194269303913,0.13636363636363635,0.0909485642105963,62.45210727969349,upsampled_df_smote_auto
KNNBasic,cosine,als,False,10,0.6906086379735364,0.36213600873678226,0.4769402908436632,0.20166666666666663,0.1407017543859649,70.49808429118774,upsampled_df_smote_auto
KNNBasic,msd,sgd,True,5,0.8784075001878004,0.513295952200018,0.7715997363861807,0.11640211640211641,0.08141364808031475,61.30268199233716,upsampled_df_smote_auto
KNNBasic,msd,sgd,True,10,0.7130303456761876,0.3883496167071485,0.5084122738551037,0.15517241379310345,0.10481663929939791,68.19923371647509,upsampled_df_smote_auto
KNNBasic,msd,als,True,5,0.8021233568549921,0.45070543071931185,0.6434018796123211,0.13671875,0.09264322916666667,65.90038314176245,upsampled_df_smote_auto
KNNBasic,msd,als,True,10,0.7866821916311257,0.4400143144992981,0.6188688706295512,0.14907407407407408,0.10561383061383062,66.28352490421456,upsampled_df_smote_auto
KNNBasic,msd,sgd,False,5,0.7915266298484619,0.42284017674931035,0.6265144057592641,0.11666666666666667,0.07773148148148148,67.04980842911877,upsampled_df_smote_auto
KNNBasic,msd,sgd,False,10,0.760309895771298,0.4263642259535318,0.5780711376077621,0.1586021505376344,0.10834555229716519,66.66666666666666,upsampled_df_smote_auto
KNNBasic,msd,als,False,5,0.7633375244876349,0.4354158440346599,0.5826841762909106,0.125,0.07099844599844601,64.75095785440614,upsampled_df_smote_auto
KNNBasic,msd,als,False,10,0.8140372960489036,0.45929533478638734,0.6626567193586104,0.12903225806451613,0.09789426523297491,65.90038314176245,upsampled_df_smote_auto
KNNBasic,pearson,sgd,True,5,0.8723995867411615,0.5220663044281801,0.7610810389461493,0.1484375,0.09148091491841492,60.15325670498084,upsampled_df_smote_auto
KNNBasic,pearson,sgd,True,10,0.8045617734796534,0.4421205787391708,0.6473196473447251,0.14480874316939893,0.08450429352068697,67.43295019157088,upsampled_df_smote_auto
KNNBasic,pearson,als,True,5,0.8178710658166092,0.4435785409455061,0.6689130802999962,0.15873015873015872,0.10128495842781558,68.19923371647509,upsampled_df_smote_auto
KNNBasic,pearson,als,True,10,0.7992791209395201,0.43541247856167026,0.638847113169852,0.1120689655172414,0.08429035045414356,67.43295019157088,upsampled_df_smote_auto
KNNBasic,pearson,sgd,False,5,0.8196653736684871,0.4762597341260761,0.6718513247911007,0.138671875,0.08944900075414781,63.601532567049816,upsampled_df_smote_auto
KNNBasic,pearson,sgd,False,10,0.8301717985214241,0.4654461890977777,0.689185215060296,0.1385964912280702,0.10881905618747723,65.13409961685824,upsampled_df_smote_auto
