Model,Biased,RMSE,MAE,MSE,Precision,Recall,Accuracy,DataSet
SVD,True,0.6719602821855275,0.40376992664518535,0.45153062083485374,0.14527363184079603,0.12619594336012246,67.81609195402298,upsampled_df_smote_auto
SVD,False,0.6910103162934513,0.41893364443650294,0.4774952572239756,0.13703703703703704,0.12404467960023514,68.5823754789272,upsampled_df_smote_auto
NMF,True,0.7629717382146263,0.4561130345614699,0.5821258733142481,0.18390804597701152,0.13091039707419017,64.36781609195403,upsampled_df_smote_auto
NMF,False,0.8104307597318172,0.4757124871033219,0.6567980163194905,0.18128654970760233,0.1233187134502924,64.36781609195403,upsampled_df_smote_auto
SVDpp,False,0.5869862682867367,0.3601323043434429,0.34455287915718885,0.17350230414746542,0.16679762889440308,67.81609195402298,upsampled_df_smote_auto
SlopeOne,False,0.821722359088023,0.4610417132851092,0.6752276354251858,0.17272727272727273,0.13805422647527912,66.28352490421456,upsampled_df_smote_auto
CoClustering,False,0.8635969621344362,0.5414243550992879,0.7457997130078267,0.1819940476190476,0.15084134615384615,57.47126436781609,upsampled_df_smote_auto
SVD,True,0.5008228492847381,0.2760218307336406,0.25082352636568345,0.6651515151515152,0.6324175461430365,79.45544554455446,upsampled_df_smote_auto_distribution_kept
SVD,False,0.5254973445968826,0.29279126959221097,0.2761474591783748,0.6774395003903202,0.6233142264469982,78.46534653465346,upsampled_df_smote_auto_distribution_kept
NMF,True,0.5255416541202093,0.3133299183228978,0.2761940302154056,0.5880555555555556,0.5798854089864224,77.47524752475248,upsampled_df_smote_auto_distribution_kept
NMF,False,0.5058100670619988,0.2795529983623847,0.25584382394126376,0.580241935483871,0.5567337667076756,79.70297029702971,upsampled_df_smote_auto_distribution_kept
SVDpp,False,0.49536417640687924,0.2689955588245783,0.24538566726726577,0.6067271352985638,0.5778509111946873,80.19801980198021,upsampled_df_smote_auto_distribution_kept
SlopeOne,False,0.5521711001059039,0.2734277111905357,0.30489292379216415,0.690200138026225,0.6731198327106256,78.71287128712872,upsampled_df_smote_auto_distribution_kept
CoClustering,False,0.79421309599232,0.588989640170337,0.6307744418457062,0.6707070707070707,0.6426537229766895,58.168316831683164,upsampled_df_smote_auto_distribution_kept
SVD,True,0.6853166617236355,0.4661309788497329,0.4696589268360278,0.31105263157894736,0.2637123110807321,66.66666666666666,df_oversamling
SVD,False,0.6756922089184225,0.4710582158885757,0.4565599611930572,0.2910112359550562,0.24476756994932802,64.04199475065617,df_oversamling
NMF,True,0.6732168406528639,0.3646162510080084,0.4532209145386236,0.3810457516339869,0.3101049892053352,72.17847769028872,df_oversamling
NMF,False,0.7148156450320439,0.39520597875068253,0.5109614063825769,0.32954545454545453,0.27618409403895333,70.86614173228347,df_oversamling
SVDpp,False,0.638430088748039,0.4229732842302227,0.40759297821882895,0.3459770114942529,0.30872774397115166,67.45406824146981,df_oversamling
SlopeOne,False,0.6735040627975191,0.3561860018960703,0.45360772260476456,0.42198581560283693,0.3635786052009456,71.91601049868767,df_oversamling
CoClustering,False,0.9116295062692292,0.6384199364694038,0.8310683567006787,0.3373493975903614,0.2791980151854431,43.569553805774284,df_oversamling
SVD,True,0.8624897274987416,0.7233478448905332,0.7438885300408536,0.6507352941176471,0.7022058823529411,46.21848739495798,downsampled_df_random
SVD,False,0.8599476595149406,0.7082989293934294,0.7395099771052241,0.6680555555555556,0.7083333333333334,43.69747899159664,downsampled_df_random
NMF,True,1.0524303156490813,0.8782113562376267,1.107609569297225,0.556025641025641,0.5953846153846154,31.092436974789916,downsampled_df_random
NMF,False,1.0664402293709005,0.8597665029250765,1.1372947628206589,0.6052123552123551,0.668918918918919,38.655462184873954,downsampled_df_random
SVDpp,False,0.9723562171510185,0.8013616894921182,0.9454766130322387,0.5269230769230769,0.5846153846153846,35.294117647058826,downsampled_df_random
SlopeOne,False,0.945848336395587,0.7699677313156746,0.8946290754622995,0.6045238095238095,0.68,42.857142857142854,downsampled_df_random
CoClustering,False,0.9975817527201887,0.8087377556909042,0.9951693533602836,0.6182648401826485,0.6917808219178082,36.97478991596639,downsampled_df_random
