userId,wine
91cf68cc-9436-43e1-871d-33beef4d2337,Vistamar Cabernet Sauvignon Reserva
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Terrano
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 11
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Pignolo
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Fumin la griffe
06ca7474-a4b1-4b25-8775-aed5b238c8dd,Colimoro
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Ribolla Gialla
7a20fe0e-38bf-4e66-967a-dd60aa05d77f,Russiz Superiore
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio
018ad2f2-d320-46c2-8eff-56af0c2ac2b8,Muller Thurgau Trentino
2a62eecd-b0cd-4395-9f8c-7c912a208be2,"Beefsteak club mendoza, Argentina, malbec "
a965be29-83c9-47b7-a5b3-82d99180cf98,Brut Rosé
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 11
a2b48f73-6857-4bcc-a590-6b1ca17dc885,Ginepreta
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Rheinhessen Kabinett Riesling
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Pinot Noir
4e0cbfe3-8d73-4af4-b09e-f3193d1170a5,Marmajuela
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Bordeaux
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Grand Rouge
eadb1fb9-7260-4618-aa5a-8f2ebdca2077,Bread & Butter Pinor Noir 2020
5ccd8030-047b-432c-a630-d784ab415756,Scheurebe Gleisweiler
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barolo
441ac739-42f8-48d2-9526-fdedf2d4852f,Vitovska acciaio
2b88ef27-7d56-4414-9c00-b23851f336d2,refosco Bole
e5b0e77a-ed45-4436-a771-6e01c5782973,Campofiorin Rosso Veronese
5ccd8030-047b-432c-a630-d784ab415756,Full of Joy Weissburgunder
877019f9-3c77-491d-912e-58b2404aed47,Chianti
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bitornino 
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Friulano
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,le vigne di zamo refosco
3da6eec4-bd99-4370-be23-676baf750f19,Napa Valley Fumé Blanc
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Amarone Campo del Titari
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Mercurey 'Clos les Bussières' 
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Black Label Champagne Brut
bc79b0e3-064d-4240-86de-e86499f577e8,2/5 大亂鬥 2
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Valle de Casablanca Sauvignon
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese
b61f83a4-48c5-49a5-aee5-72f7d5221b2a,Cabernet Sauvignon (815)
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Friulano
36fec3ea-e183-491d-b65a-6c7ac90fafa5,"Bonarda ""La Gioiosa"""
55851c14-2fd7-4f7e-b4de-b45e14825ac3,Riesling Goldmund Feinherb
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Terrano
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Sizzano
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Sinefinis
4e0cbfe3-8d73-4af4-b09e-f3193d1170a5,Zahorra Blanca
5ccd8030-047b-432c-a630-d784ab415756,Scheurebe Gleisweiler
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Tempranillo
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Cabernet Franc
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Terrano
91cf68cc-9436-43e1-871d-33beef4d2337,Bella Cabernet Sauvignon
d77c4371-fa10-492d-ba28-d0029997d639,Merlot
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Valpolicella Ripasso (Classico Superiore)
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Montepulciano d’Abruzzo
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Franciacorta
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Barbera Piemonte
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Petite arvine
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese
35bcb30c-a1b8-49c0-85e3-aaa84e30f50d,Rubicon
5ccd8030-047b-432c-a630-d784ab415756,Riesling Classic
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Vieilles Vignes Rouge
b61f83a4-48c5-49a5-aee5-72f7d5221b2a,White Blend
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Lodi California
5ccd8030-047b-432c-a630-d784ab415756,Baden-Badener Spätburgunder
defee34b-7775-4889-b703-92b730d85e70,Zamò Bianco
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Rimosso
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Graham's Block 7
e786582d-0deb-4e55-969e-065508ca1138,"Vermentino 2015 ""Campo Maccione"""
6ff6fb75-4fe9-453f-9c7d-c6ff63ada901,Morandina Valpolicella Ripasso Superiore
018ad2f2-d320-46c2-8eff-56af0c2ac2b8,Cinque Terre Sciacchetrà Riserva
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Chardonnay Biele Zôe Cuvée 85/15
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 11
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Friulano
c2dfb861-cdad-4fb2-9460-fc794c7f6cad,Merlot (U)
13016d41-00bd-411c-83f5-2b95691696b7,Genesi Vermentino di Gallura Superiore
4e0cbfe3-8d73-4af4-b09e-f3193d1170a5,Zahorra Blanca
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Vieilles Vignes Rouge
877019f9-3c77-491d-912e-58b2404aed47,Chianti
976ec198-048f-405c-b6e6-b17ee1db1139,Ripassa Valpolicella Ripasso Superiore
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Bortolomiol Vintage Extra Dry Millesimato
8d43f723-f1e6-42ae-9e08-484403d2f5a3,Châteauneuf-du-Pape
d229f371-d36c-4e52-8806-fdd41896c689,Chateauneuf-Du-Pape
25a04c51-5638-42f0-b2e7-ce49b1c280fc,Rosso di Montalcino
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Grande reserve
df904a46-c461-4233-9d44-6ac11a8bbddc,Passerina  Terre di Chieti  IGP
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Omega Rosso
014e4ed1-6f8b-4b25-917d-c167a2acca17,New Wine
bc79b0e3-064d-4240-86de-e86499f577e8,3／17 Temata 3 Sauvignon Blanc
6ff6fb75-4fe9-453f-9c7d-c6ff63ada901,Morandina Valpolicella Ripasso Superiore
2bb306b3-5e47-40b1-ab05-eee62cafb1b8,Lyric Pinot Noir
4e9cb62e-a165-484b-ad78-cb215523cdd5,Le sol
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Valle de Maipo Carmenere
2ae69fac-d491-412f-8164-ccaf59a230c2,Ronco del Balbo Merlot
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Inspirational Batch 10
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barolo
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,The Weather Station Sauvignon Blanc
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,"""PG Rosa"" Pinot grigio"
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Rheinhessen Kabinett Riesling
a682d322-8cff-4f92-aaa9-c7380de20f10,Tignanello
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Friulano
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Theo
5ccd8030-047b-432c-a630-d784ab415756,Goldmuskateller
a3b393ad-38d5-4c5a-b814-5fec18a1fa9d,Saint-joseph
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,le vigne di zamo refosco
3dd9219a-c64e-4c5a-a61b-aad6a417a69a,Brachetto Piemonte
877019f9-3c77-491d-912e-58b2404aed47,Chianti
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 11
91cf68cc-9436-43e1-871d-33beef4d2337,Sacred Hill Pinot Noir
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Merlot  le vigne di zamo
5ccd8030-047b-432c-a630-d784ab415756,Theo Minges Chardonnay
f9b653da-6c1b-4390-87c6-f74e42bf0a03,Vinho Verde Branco
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Vitovska acciaio
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,The Old Man's Blend
13016d41-00bd-411c-83f5-2b95691696b7,Terrano
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Friulano
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Sauvignon
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 2
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Merlot  le vigne di zamo
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese
45749629-7f44-49a1-92ef-ae32c959b290,Alberti 154 Malbec
d838a526-4b0a-4fad-b54f-90b6ca321fca,Shiraz
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Nus Malvoisie
32a9af10-6efe-41bc-8c6a-2d93fcbe88dd,Lambrusco Rosé Secco
7ed7fb0c-884d-46bf-a14a-205474a0949d,Bordeaux blanc
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Malvasia legno
25a04c51-5638-42f0-b2e7-ce49b1c280fc,Vermentino di Gallura
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Friulano
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Brunello di Montalcino
91cf68cc-9436-43e1-871d-33beef4d2337,Domaine Grand Veneur Blanc de Viogier
13016d41-00bd-411c-83f5-2b95691696b7,Schioppettino
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Chardonnay Cardellino
b0fbc6bd-4b1e-48cd-92f3-f49b7a505941,Taurasi Vigna Cinque Querce
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Rheinhessen Kabinett Riesling
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Il mattaglio brut
ff89d8c1-48a3-49b5-af95-62d0ce9ecf55,Lyric chardonnay 2016
5ccd8030-047b-432c-a630-d784ab415756,Bardolino Chiaretto
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Merlot  le vigne di zamo
5ccd8030-047b-432c-a630-d784ab415756,Vino Nobile di Montepulciano
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Daphne
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Vieilles Vignes Rouge
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Vieilles Vignes Rouge
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Chance
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese
3d88fe74-6881-42bd-bb97-d67f2db649d7,Dark Horse Shiraz
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barolo
a94874d2-6af9-4651-a1d3-036ed714f2cb,pelaverga
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Montessu
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Merlot  le vigne di zamo
5ccd8030-047b-432c-a630-d784ab415756,Sauvignon Blanc
441ac739-42f8-48d2-9526-fdedf2d4852f,Vitovska acciaio
5ccd8030-047b-432c-a630-d784ab415756,Blauer Wildbacher
8a5ddd23-7ed8-4ac0-9c5d-12ff3b908053,Altitud Chardonnay
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Jam shed malbec
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Sangiovese
91cf68cc-9436-43e1-871d-33beef4d2337,Bella Cabernet Sauvignon
dcd16582-14d2-4e00-a024-9b5886d29b29,Torrontés dulce 2021
4ed273f7-1816-4f36-88c7-789125f011c7,Moscato d'Asti
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Organic pinot grigio terre siciliane igt
c88644be-2c9b-42f0-9c4b-7f8e81795f43,Terrano
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Prieuré Chambave Moscato Passito
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Lodi California
5ccd8030-047b-432c-a630-d784ab415756,Vendemmia
838e0d9d-27e9-4f89-9eab-ba2c2f412759,Moscato d'Asti
e336887b-883b-4d9a-8cd3-060c25856bfb,Le caillou - Le truffe noire
bc79b0e3-064d-4240-86de-e86499f577e8,2/5 大亂鬥 2
09f6ca6e-905f-4afd-bab2-d928fe046f18,Cabernet d'Anjou
bc79b0e3-064d-4240-86de-e86499f577e8,3／18 大陸白 8
a0ef6b50-093e-4ae1-8e3c-58a2a17d2bb8,Fairbridge
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Friulano
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Imperial Brut
457b85f5-7b46-4f52-85b9-59acb549b9a2,ATMA
13016d41-00bd-411c-83f5-2b95691696b7,Ribolla gialla
bc79b0e3-064d-4240-86de-e86499f577e8,"Le Fay d'Homme .Muscadet, France"
e5b0e77a-ed45-4436-a771-6e01c5782973,Campofiorin Rosso Veronese
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Le Vigne Di Eli Etna Rosso
bf82194f-6108-4524-9cef-69c0231ac74b,Nerello mascalese
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Merlot  le vigne di zamo
8a5ddd23-7ed8-4ac0-9c5d-12ff3b908053,Malbec
5ccd8030-047b-432c-a630-d784ab415756,Bardolino Chiaretto
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brachetto Piemonte
3d88fe74-6881-42bd-bb97-d67f2db649d7,Reserve Merlot
e5b0e77a-ed45-4436-a771-6e01c5782973,Campofiorin Rosso Veronese
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Ribolla Gialla
838e0d9d-27e9-4f89-9eab-ba2c2f412759,Moscato d'Asti
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Valle de Maipo Carmenere
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Marc'Aurelio
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Nero d'Avola Lorlando
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,le vigne di zamo refosco
bc79b0e3-064d-4240-86de-e86499f577e8,2/5 大亂鬥 2
eadb1fb9-7260-4618-aa5a-8f2ebdca2077,Bread & Butter Pinor Noir 2020
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Brunello di Montalcino Vigna Manapetra
ec237d07-aabf-47af-a3fa-2b60019d49d7,Brut Rosé (Rose Label) Champagne
876b7023-bbf0-4bd8-a341-61ae5bc4b38f,Signoria Prosecco Extra Dry
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Merlot
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Pinot Grigio
49e99d4d-3b1a-4bd3-82dc-0319128a930a,Gato Negro Merlot
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 2
91cf68cc-9436-43e1-871d-33beef4d2337,Kellermeister Barossa Vineyards
5c865810-7a40-4eb4-93c3-970c4d6ce4da,Chardonnay Collio
2ae69fac-d491-412f-8164-ccaf59a230c2,Ronco del Balbo Merlot
defee34b-7775-4889-b703-92b730d85e70,Terrarosa
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Lagrein Riserva
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 6
3d88fe74-6881-42bd-bb97-d67f2db649d7,Dark Horse Shiraz
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Valle de Maipo Carmenere
5ccd8030-047b-432c-a630-d784ab415756,Dettelbach Silvaner
bcc4af0f-7f89-4083-86cb-18b605495683,Bourgogne Pinot Noir
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Franciacorta
5ccd8030-047b-432c-a630-d784ab415756,Pinot Noir
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Anjou Blanc
