userId,wine
91cf68cc-9436-43e1-871d-33beef4d2337,Chateau Dereszla Tokaji Aszu 5 Puttonyos
1818462e-a882-487f-9818-98faab99b3c4,Steak House Red
ba14097a-c2ac-4d16-a8b9-a237bdc73592,Red
918cd9b7-8057-4106-8f7f-9e9e3a423fb1,Cabernet Sauvignon
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Barbaresco Bernadot
bc79b0e3-064d-4240-86de-e86499f577e8,2／17 @home #7
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Chianti classico
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Il mattaglio brut
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Ruche'
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Collio bianco riserva
4eb7031c-da00-48f4-bc7f-0a1f1eda7cab,Malvasia
91cf68cc-9436-43e1-871d-33beef4d2337,Châteauneuf-du-Pape
47edd867-4e96-411a-b436-970e5f750b03,Pinot Grigio
91cf68cc-9436-43e1-871d-33beef4d2337,Domaine des Cassiers Pouilly-Fumé
13016d41-00bd-411c-83f5-2b95691696b7,Chianti
2ae69fac-d491-412f-8164-ccaf59a230c2,Perbacco Nebbiolo
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Fede
ec237d07-aabf-47af-a3fa-2b60019d49d7,Barbera
bc79b0e3-064d-4240-86de-e86499f577e8,3／17 Temata Coleraine
875e7ce2-5a96-497c-9816-563713e93ca8,Arneis
ce15f400-8bb8-4f99-9a8f-d8f4408641fe,Tenuta Guado al Tasso Il Bruciato Bolgheri
5bce85c2-b3c7-401f-b77b-992df3544479,Corte del lupo
c15fdd5b-3f75-42c3-9dde-5735828c88e7,Oltrepo pavese riesling poderi riccagioia
b0fbc6bd-4b1e-48cd-92f3-f49b7a505941,Terra d'Eclano Aglianico Irpinia
deb9001b-2e33-42ca-8953-35c11e0ed824,Chianti
45a10c93-34ef-4aef-887a-9cd7a4292bec,Vigna Piaggia Brunello di Montalcino
bc79b0e3-064d-4240-86de-e86499f577e8,3／17 Te Koko
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Nus Malvoisie
5ccd8030-047b-432c-a630-d784ab415756,Randersacker Spätburgunder Rosé
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Quintessence Montagny 1er Cru
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Rimosso
bc79b0e3-064d-4240-86de-e86499f577e8,Willm Riesling
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Franciacorta
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Cabernet Sauvignon 
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Brunello di Montalcino
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Nativi Gewürtztraminer
bc79b0e3-064d-4240-86de-e86499f577e8,3／4 大亂鬥 4
dcd16582-14d2-4e00-a024-9b5886d29b29,Finca La sofia
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Valdobbiadene Prosecco Superiore Extra Dry
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Chardonnay Biele Zôe Cuvée 85/15
e336887b-883b-4d9a-8cd3-060c25856bfb,Chateau coufran
bc79b0e3-064d-4240-86de-e86499f577e8,Terroir de Granit Saint Joseph
014e4ed1-6f8b-4b25-917d-c167a2acca17,New Wine
13016d41-00bd-411c-83f5-2b95691696b7,Pinot Grigio
5ccd8030-047b-432c-a630-d784ab415756,Rosé vom Löss
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bricco Riva Bianca 
5ccd8030-047b-432c-a630-d784ab415756,Charlotte Rosé
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Gewürztraminer
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Nebbiolo
b2dd097f-fad9-4daa-9218-d21128ec9ab9,Bricco delle Ciliegie Arneis Roero
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Inganno 572
a38e30da-501b-4674-b598-cf9510a2df4c,Moscata D'Asti Casaniere
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Canto x
bc79b0e3-064d-4240-86de-e86499f577e8,Paul Jaboulet Aine
5ccd8030-047b-432c-a630-d784ab415756,tschiel brut nature
13016d41-00bd-411c-83f5-2b95691696b7,Schioppettino
902db46c-a5bf-4d52-acd6-067a2bf3b876,Chardonnay
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Groot Constantia
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Macon-Charnay Clos de Tournons
bc79b0e3-064d-4240-86de-e86499f577e8,Les Grands Blancs
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bolgheri+
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Lambrusco Rosè 
2587fe2b-2481-4150-ae14-99ed61c218ac,Why not? PREMIUM zin
5ccd8030-047b-432c-a630-d784ab415756,Haut-Medoc
bc79b0e3-064d-4240-86de-e86499f577e8,2／17 @home #5
9a3cc655-c88e-4c1b-95e2-add7579ff4c2,Bollicina
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Gramigna Imperial
2ae69fac-d491-412f-8164-ccaf59a230c2,Ronco del Balbo Merlot
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Bakàn
4a3e010a-0761-48d4-90c1-b2905e0b7b4a,Iced sauvignon blanc
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Cerasuolo di Vittoria
a3b393ad-38d5-4c5a-b814-5fec18a1fa9d,Saint-joseph
13016d41-00bd-411c-83f5-2b95691696b7,Vitovska acciaio
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Collio Sauvignon
bc79b0e3-064d-4240-86de-e86499f577e8,"Eric Louis Sancerre, Sauvignon Blanc"
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Reserva Privada Sauvignon Blanc
5ccd8030-047b-432c-a630-d784ab415756,Punt dal crèt
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Falconero Zero
ecc462e1-5041-43ca-94c3-c2bfc9b3215e,Rebula
bc79b0e3-064d-4240-86de-e86499f577e8,3/11 Syrah and blend #6
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Baron amarillo rioja denomacion de origen calificada
defee34b-7775-4889-b703-92b730d85e70,Sauvignon
9250d444-805f-4756-a03b-93a597ab320d,Domaine des Granges de Mirabel Coteaux-de-l'Ardèche Viognier
5ccd8030-047b-432c-a630-d784ab415756,Retzbacher Sauvignon Blanc
bc79b0e3-064d-4240-86de-e86499f577e8,3/11 Syrah and blend #7
7ed7fb0c-884d-46bf-a14a-205474a0949d,Valpolicella
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Chardonnay
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Vitovska acciaio
7ab11062-c77b-4254-9f58-a3f852c73eb3,Kung Fu Girl Riesling
41375cb6-321d-410a-bd0b-d0afed9f0417,Est! Est!! Est!!! Di Montefiascone Secco
bc8f3005-c2c6-4277-9fd7-340248f4e7ec,Bollicina
06ca7474-a4b1-4b25-8775-aed5b238c8dd,Colimoro
36fec3ea-e183-491d-b65a-6c7ac90fafa5,Collepiano
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Arns Cabernet Sauvignon 
defee34b-7775-4889-b703-92b730d85e70,Vitovska Collection
76b71bb0-6cc9-4168-8a45-bbafc1e9a256,Brachetto Piemonte
bc79b0e3-064d-4240-86de-e86499f577e8,2／17 @home #1
e5b0e77a-ed45-4436-a771-6e01c5782973,Campofiorin Rosso Veronese
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Il Mattaglio Blanc de Blancs
2a62eecd-b0cd-4395-9f8c-7c912a208be2,Jam shed shiraz
5bce85c2-b3c7-401f-b77b-992df3544479,Pinot noir San Mischael eppan
c60f0ff1-ed30-4df6-a612-b9ae7ca0814b,Vitovska
f8c400a6-ded1-40b8-95d2-a263d05c30ce,Kerner
5ccd8030-047b-432c-a630-d784ab415756,Randersacker Spätburgunder Rosé
7f6dede6-b8b5-4bb6-a1ca-ae58c79c0ea7,Ammonite
